PS Power, PL Power, MGT Power, Total Power
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.009, 0.120, 0.000, 0.129
 0.017, 0.119, 0.000, 0.137
 0.009, 0.119, 0.000, 0.128
 0.012, 1.074, 0.000, 1.086
 0.011, 1.167, 0.000, 1.178
 0.011, 1.202, 0.000, 1.213
 0.012, 0.988, 0.000, 1.000
 0.012, 0.768, 0.000, 0.780
 0.011, 1.028, 0.000, 1.039
 0.012, 0.971, 0.000, 0.983
 0.012, 1.156, 0.000, 1.168
 0.012, 1.174, 0.000, 1.186
 0.015, 0.614, 0.000, 0.628
 0.012, 1.062, 0.000, 1.073
 0.014, 0.855, 0.000, 0.869
 0.012, 1.256, 0.000, 1.268
 0.012, 0.594, 0.000, 0.606
 0.012, 0.887, 0.000, 0.899
 0.015, 0.893, 0.000, 0.907
 0.011, 1.256, 0.000, 1.267
 0.013, 0.901, 0.000, 0.913
 0.012, 0.738, 0.000, 0.750
 0.015, 1.121, 0.000, 1.136
 0.011, 1.205, 0.000, 1.216
 0.012, 0.937, 0.000, 0.950
 0.012, 0.580, 0.000, 0.592
 0.012, 1.110, 0.000, 1.122
 0.012, 1.216, 0.000, 1.227
 0.012, 1.063, 0.000, 1.076
 0.014, 0.858, 0.000, 0.872
 0.012, 1.216, 0.000, 1.228
 0.011, 1.167, 0.000, 1.179
 0.012, 1.165, 0.000, 1.177
 0.011, 0.134, 0.000, 0.145
 0.010, 0.132, 0.000, 0.143
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.011, 0.120, 0.000, 0.131
 0.010, 0.120, 0.000, 0.130
 0.011, 0.119, 0.000, 0.130
 0.011, 1.113, 0.000, 1.125
 0.012, 1.118, 0.000, 1.130
 0.011, 1.116, 0.000, 1.128
 0.013, 0.776, 0.000, 0.789
 0.011, 1.208, 0.000, 1.219
 0.012, 0.819, 0.000, 0.832
 0.012, 1.127, 0.000, 1.138
 0.018, 0.322, 0.000, 0.340
 0.012, 1.149, 0.000, 1.161
 0.011, 1.405, 0.000, 1.416
 0.012, 0.984, 0.000, 0.996
 0.012, 1.128, 0.000, 1.140
 0.014, 1.022, 0.000, 1.036
 0.012, 1.124, 0.000, 1.136
 0.012, 1.025, 0.000, 1.037
 0.012, 0.891, 0.000, 0.904
 0.015, 0.773, 0.000, 0.787
 0.011, 1.254, 0.000, 1.265
 0.012, 1.063, 0.000, 1.075
 0.012, 1.175, 0.000, 1.187
 0.015, 0.592, 0.000, 0.607
 0.012, 1.182, 0.000, 1.193
 0.011, 1.369, 0.000, 1.380
 0.012, 1.115, 0.000, 1.127
 0.012, 1.175, 0.000, 1.187
 0.014, 0.649, 0.000, 0.663
 0.011, 1.309, 0.000, 1.320
 0.013, 1.061, 0.000, 1.073
 0.012, 1.265, 0.000, 1.278
 0.014, 0.895, 0.000, 0.909
 0.010, 0.134, 0.000, 0.144
 0.010, 0.132, 0.000, 0.142
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.129, 0.000, 0.139
 0.011, 0.128, 0.000, 0.139
 0.009, 0.120, 0.000, 0.129
 0.011, 0.120, 0.000, 0.131
 0.011, 0.119, 0.000, 0.130
 0.012, 1.033, 0.000, 1.044
 0.012, 1.072, 0.000, 1.084
 0.013, 0.594, 0.000, 0.607
 0.012, 1.172, 0.000, 1.184
 0.012, 0.928, 0.000, 0.940
 0.012, 0.946, 0.000, 0.958
 0.012, 0.859, 0.000, 0.872
 0.015, 1.017, 0.000, 1.031
 0.012, 1.216, 0.000, 1.227
 0.014, 0.702, 0.000, 0.716
 0.012, 0.848, 0.000, 0.860
 0.012, 1.089, 0.000, 1.101
 0.012, 1.115, 0.000, 1.127
 0.014, 0.728, 0.000, 0.742
 0.012, 0.901, 0.000, 0.913
 0.012, 0.819, 0.000, 0.832
 0.012, 1.107, 0.000, 1.119
 0.015, 0.624, 0.000, 0.639
 0.012, 1.058, 0.000, 1.070
 0.012, 1.071, 0.000, 1.083
 0.014, 0.819, 0.000, 0.834
 0.012, 0.944, 0.000, 0.956
 0.012, 0.934, 0.000, 0.946
 0.012, 1.022, 0.000, 1.034
 0.012, 0.804, 0.000, 0.816
 0.013, 0.938, 0.000, 0.951
 0.012, 1.066, 0.000, 1.078
 0.014, 0.630, 0.000, 0.644
 0.012, 0.990, 0.000, 1.002
 0.011, 0.135, 0.000, 0.146
 0.010, 0.132, 0.000, 0.143
 0.010, 0.131, 0.000, 0.141
 0.010, 0.130, 0.000, 0.140
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.011, 0.120, 0.000, 0.131
 0.011, 0.119, 0.000, 0.130
 0.012, 0.858, 0.000, 0.870
 0.012, 0.902, 0.000, 0.915
 0.012, 0.820, 0.000, 0.832
 0.012, 0.811, 0.000, 0.822
 0.011, 1.319, 0.000, 1.330
 0.011, 1.317, 0.000, 1.328
 0.014, 0.652, 0.000, 0.667
 0.012, 1.016, 0.000, 1.029
 0.012, 0.861, 0.000, 0.873
 0.013, 0.894, 0.000, 0.906
 0.012, 0.928, 0.000, 0.940
 0.015, 0.613, 0.000, 0.628
 0.012, 0.737, 0.000, 0.750
 0.015, 0.736, 0.000, 0.750
 0.014, 0.655, 0.000, 0.669
 0.015, 0.662, 0.000, 0.677
 0.015, 0.560, 0.000, 0.576
 0.012, 0.938, 0.000, 0.950
 0.012, 0.938, 0.000, 0.950
 0.012, 1.027, 0.000, 1.039
 0.011, 1.252, 0.000, 1.263
 0.012, 1.166, 0.000, 1.178
 0.011, 1.080, 0.000, 1.091
 0.012, 1.218, 0.000, 1.229
 0.011, 1.205, 0.000, 1.216
 0.015, 1.088, 0.000, 1.103
 0.012, 1.312, 0.000, 1.324
 0.013, 1.021, 0.000, 1.034
