PS Power, PL Power, MGT Power, Total Power
 0.010, 0.235, 0.000, 0.245
 0.008, 0.405, 0.000, 0.413
 0.008, 0.422, 0.000, 0.430
 0.011, 0.325, 0.000, 0.336
 0.008, 0.394, 0.000, 0.403
 0.008, 0.400, 0.000, 0.408
 0.009, 0.395, 0.000, 0.403
 0.009, 0.400, 0.000, 0.408
 0.008, 0.258, 0.000, 0.267
 0.008, 0.421, 0.000, 0.429
 0.008, 0.427, 0.000, 0.435
 0.009, 0.247, 0.000, 0.256
 0.008, 0.404, 0.000, 0.412
 0.008, 0.425, 0.000, 0.434
 0.011, 0.276, 0.000, 0.287
 0.008, 0.400, 0.000, 0.408
 0.008, 0.370, 0.000, 0.378
 0.011, 0.394, 0.000, 0.405
 0.009, 0.399, 0.000, 0.407
 0.009, 0.203, 0.000, 0.212
 0.008, 0.421, 0.000, 0.429
 0.008, 0.372, 0.000, 0.381
 0.011, 0.318, 0.000, 0.329
 0.008, 0.405, 0.000, 0.414
 0.008, 0.426, 0.000, 0.434
 0.009, 0.349, 0.000, 0.358
 0.010, 0.119, 0.000, 0.129
 0.009, 0.118, 0.000, 0.127
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.125
 0.009, 0.117, 0.000, 0.125
 0.009, 0.116, 0.000, 0.125
 0.011, 0.116, 0.000, 0.127
 0.011, 0.116, 0.000, 0.127
 0.009, 0.803, 0.000, 0.811
 0.008, 0.775, 0.000, 0.783
 0.009, 0.780, 0.000, 0.789
 0.009, 0.740, 0.000, 0.749
 0.009, 0.545, 0.000, 0.553
 0.010, 0.630, 0.000, 0.641
 0.009, 0.554, 0.000, 0.563
 0.012, 0.451, 0.000, 0.463
 0.011, 0.620, 0.000, 0.631
 0.012, 0.591, 0.000, 0.603
 0.012, 0.591, 0.000, 0.602
 0.012, 0.703, 0.000, 0.715
 0.012, 0.615, 0.000, 0.627
 0.011, 0.819, 0.000, 0.829
 0.009, 0.895, 0.000, 0.903
 0.011, 0.622, 0.000, 0.634
 0.009, 0.847, 0.000, 0.856
 0.009, 0.845, 0.000, 0.854
 0.011, 0.789, 0.000, 0.800
 0.011, 0.779, 0.000, 0.790
 0.011, 0.514, 0.000, 0.525
 0.011, 0.810, 0.000, 0.821
 0.009, 0.891, 0.000, 0.900
 0.011, 0.581, 0.000, 0.593
 0.011, 0.857, 0.000, 0.868
 0.009, 0.629, 0.000, 0.638
 0.011, 0.809, 0.000, 0.821
 0.010, 0.804, 0.000, 0.814
 0.011, 0.548, 0.000, 0.559
 0.009, 0.818, 0.000, 0.827
 0.010, 0.129, 0.000, 0.139
 0.010, 0.119, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.010, 0.118, 0.000, 0.128
 0.009, 0.118, 0.000, 0.127
 0.009, 0.118, 0.000, 0.126
 0.009, 0.118, 0.000, 0.126
 0.011, 0.117, 0.000, 0.128
 0.011, 0.117, 0.000, 0.128
 0.011, 0.117, 0.000, 0.128
